country,year,forest_area,adjusted_nni,inflation
Trinidad and Tobago,2013,45.06,18456,5.2
Ukraine,2013,16.59,160446,-0.24
United Arab Emirates,2013,4.47,349215,1.1
Uruguay,2013,10.54,46594,8.58
Armenia,2014,11.58,10623,2.98
Aruba,2014,2.33,2400,0.42
Australia,2014,17.23,1142430,2.49
Austria,2014,46.99,362883,1.61
Azerbaijan,2014,12.93,57585,1.37
Bahrain,2014,0.76,22810,2.65
Barbados,2014,14.65,4008,1.77
Belgium,2014,22.77,442744,0.34
Belize,2014,58.95,1231,1.2
Brazil,2014,60.47,2110205,6.33
Brunei Darussalam,2014,72.11,13266,-0.21
Bulgaria,2014,35.13,47989,-1.42
Cabo Verde,2014,10.9,1544,-0.24
Canada,2014,38.72,1478416,1.91
Chile,2014,23.43,209608,4.72
Colombia,2014,54.32,305891,2.9
Costa Rica,2014,57.51,47157,4.52
Croatia,2014,34.34,47632,-0.22
Cyprus,2014,18.69,19319,-1.35
Denmark,2014,15.43,303434,0.56
Ecuador,2014,51.78,80912,3.59
El Salvador,2014,29.48,18855,1.14
Estonia,2014,55.3,21625,-0.11
Fiji,2014,60.2,3984,0.52
Finland,2014,73.63,224407,1.04
France,2014,30.6,2395994,0.51
Germany,2014,32.72,3262742,0.91
Greece,2014,30.27,196147,-1.31
Guatemala,2014,33.72,48819,3.42
Guyana,2014,93.84,3664,0.85
Hungary,2014,22.55,110708,-0.23
Ireland,2014,10.86,179235,0.18
Italy,2014,31.26,1764618,0.24
Jamaica,2014,52.97,12486,8.27
Japan,2014,68.45,3827730,2.76
Kazakhstan,2014,1.21,154142,6.71
Kuwait,2014,0.35,147962,2.91
Latvia,2014,54.44,23790,0.62
Lithuania,2014,34.85,41542,0.1
Luxembourg,2014,34.45,42134,0.63
Maldives,2014,2.73,3004,2.12
Mauritius,2014,19.19,11784,3.22
Mexico,2014,34.18,1027050,4.02
Mongolia,2014,9.11,9342,12.25
Montenegro,2014,61.49,4216,-0.71
Netherlands,2014,10.88,732107,0.98
New Zealand,2014,37.4,163926,1.23
Nicaragua,2014,32.94,10286,6.04
Norway,2014,33.23,399618,2.04
Oman,2014,0.01,42106,1.02
Panama,2014,57.78,42887,2.63
Paraguay,2014,45.09,35363,5.03
Poland,2014,30.71,458077,0.05
Qatar,2014,0.0,144556,3.35
Romania,2014,29.66,160067,1.07
Russian Federation,2014,49.76,1606365,7.82
Serbia,2014,31.08,33887,2.08
Seychelles,2014,73.26,1097,1.39
Singapore,2014,23.59,259777,1.03
Slovenia,2014,61.96,39020,0.2
South Africa,2014,14.24,312060,6.13
Spain,2014,37.08,1141484,-0.15
Sri Lanka,2014,33.87,71684,3.18
Suriname,2014,97.83,3919,3.38
Sweden,2014,68.74,495339,-0.18
Switzerland,2014,31.6,572291,-0.01
Thailand,2014,39.27,309618,1.9
Trinidad and Tobago,2014,44.97,20546,5.68
Ukraine,2014,16.63,113855,12.07
United Arab Emirates,2014,4.47,362440,2.35
Uruguay,2014,10.75,45543,8.88
Armenia,2015,11.57,9467,3.73
Aruba,2015,2.33,2522,0.47
Australia,2015,17.32,1054276,1.51
Austria,2015,47.03,309295,0.9
Azerbaijan,2015,13.04,43042,4.03
Bahrain,2015,0.77,23705,1.85
Barbados,2015,14.65,4016,-1.11
Belgium,2015,22.76,381307,0.56
Belize,2015,58.43,1350,-0.86
Brazil,2015,60.29,1563367,9.03
Brunei Darussalam,2015,72.11,10926,-0.49
Bulgaria,2015,35.31,41775,-0.1
Cabo Verde,2015,10.97,1342,0.13
Canada,2015,38.72,1259385,1.13
Chile,2015,23.67,201859,4.35
Colombia,2015,54.2,245688,4.99
Costa Rica,2015,57.83,51114,0.8
Croatia,2015,34.34,41918,-0.46
Cyprus,2015,18.69,17036,-2.1
Denmark,2015,15.62,260236,0.45
Ecuador,2015,51.62,80339,3.97
El Salvador,2015,29.27,19475,-0.73
Estonia,2015,55.69,18681,-0.49
Fiji,2015,60.57,3760,1.37
Finland,2015,73.74,192618,-0.21
France,2015,30.75,2054909,0.04
Germany,2015,32.73,2826440,0.51
Greece,2015,30.27,162220,-1.74
Guatemala,2015,33.46,53182,2.39
Guyana,2015,93.78,3884,-1.0
Hungary,2015,22.58,98116,-0.06
Ireland,2015,10.95,161050,-0.29
Italy,2015,31.44,1485470,0.04
Jamaica,2015,53.32,12617,3.69
Japan,2015,68.43,3502202,0.8
Kazakhstan,2015,1.23,141933,6.67
Kuwait,2015,0.35,105812,3.27
Latvia,2015,54.5,20673,0.17
Lithuania,2015,34.91,34387,-0.88
Luxembourg,2015,34.45,31731,0.47
Maldives,2015,2.73,3379,0.95
